embedding_index,chunk_id,document_id,chunk_index,title,pdf_name,page_start,page_end,character_count,word_count,site_url,file_url,publicbody,foirequest,uid,source_text_path,clean_text_path,text
0,8421600000,84216,0,Haushaltsabschluss: Wofür hat Minister Remmel in 2014 Geld ausgegeben?,84216_104fd16f5731e9732f79121e4d779436ab41ea62.pdf,1,1,90,12,https://fragdenstaat.de/dokumente/84216-haushaltsabschluss-wofur-hat-minister-remmel-in-2014-geld-ausgegeben/,https://media.frag-den-staat.de/files/docs/2d/ab/b1/2dabb116ba1841a8b2bf4d757944472f/104fd16f5731e9732f79121e4d779436ab41ea62.pdf,,,2dabb116-ba18-41a8-b2bf-4d757944472f,C:\Users\Admin\Desktop\OpenLens\Texte\84216_104fd16f5731e9732f79121e4d779436ab41ea62.txt,C:\Users\Admin\Desktop\OpenLens\Bereinigte_Texte\84216_84216_104fd16f5731e9732f79121e4d779436ab41ea62.txt,"FEHLER: Nordrhein-Westfalen Drucksache 16/10202
Das Dokument konnte nicht gefunden werden."
1,8487400000,84874,0,"Inobhutnahme und Beschulung unbegleiteter, minderjähriger Flüchtlinge",84874_6b08e404fee0e6e510b67a342161ca5483649843.pdf,1,1,90,12,https://fragdenstaat.de/dokumente/84874-inobhutnahme-und-beschulung-unbegleiteter-minderjahriger-fluchtlinge/,https://media.frag-den-staat.de/files/docs/4f/9c/40/4f9c4084f09c4315a1c842061f8600e8/6b08e404fee0e6e510b67a342161ca5483649843.pdf,,,4f9c4084-f09c-4315-a1c8-42061f8600e8,C:\Users\Admin\Desktop\OpenLens\Texte\84874_6b08e404fee0e6e510b67a342161ca5483649843.txt,C:\Users\Admin\Desktop\OpenLens\Bereinigte_Texte\84874_84874_6b08e404fee0e6e510b67a342161ca5483649843.txt,"FEHLER: Nordrhein-Westfalen Drucksache 16/11814
Das Dokument konnte nicht gefunden werden."
2,8497200000,84972,0,Aussagen von Minister Remmel zur Schulverpflegung,84972_5217fd3adb400b205c3d5372cb88f151e3fdefbb.pdf,1,1,90,12,https://fragdenstaat.de/dokumente/84972-aussagen-von-minister-remmel-zur-schulverpflegung/,https://media.frag-den-staat.de/files/docs/b8/11/52/b811525b35dd48dd8dfd1c901c0802b3/5217fd3adb400b205c3d5372cb88f151e3fdefbb.pdf,,,b811525b-35dd-48dd-8dfd-1c901c0802b3,C:\Users\Admin\Desktop\OpenLens\Texte\84972_5217fd3adb400b205c3d5372cb88f151e3fdefbb.txt,C:\Users\Admin\Desktop\OpenLens\Bereinigte_Texte\84972_84972_5217fd3adb400b205c3d5372cb88f151e3fdefbb.txt,"FEHLER: Nordrhein-Westfalen Drucksache 16/11813
Das Dokument konnte nicht gefunden werden."
3,8513800000,85138,0,Haushaltsabschluss: Wofür hat Minister Remmel in 2014 Geld ausgegeben?,85138_04ce806c41142f193b29754bd9c19333b627887f.pdf,1,1,90,12,https://fragdenstaat.de/dokumente/85138-haushaltsabschluss-wofur-hat-minister-remmel-in-2014-geld-ausgegeben/,https://media.frag-den-staat.de/files/docs/ef/8b/18/ef8b1825fd3f4645a7add44194594464/04ce806c41142f193b29754bd9c19333b627887f.pdf,,,ef8b1825-fd3f-4645-a7ad-d44194594464,C:\Users\Admin\Desktop\OpenLens\Texte\85138_04ce806c41142f193b29754bd9c19333b627887f.txt,C:\Users\Admin\Desktop\OpenLens\Bereinigte_Texte\85138_85138_04ce806c41142f193b29754bd9c19333b627887f.txt,"FEHLER: Nordrhein-Westfalen Drucksache 16/10207
Das Dokument konnte nicht gefunden werden."
4,8597600000,85976,0,Welche Probleme bestehen bei der Sicherung der Unterrichtsversorgung an der Johannesschule in Sassenberg?,85976_87295b4a36ab12cf72245710dafa61d109aace39.pdf,1,1,90,12,https://fragdenstaat.de/dokumente/85976-welche-probleme-bestehen-bei-der-sicherung-der-unterrichtsversorgung-an-der-johannesschule-in-sassenberg/,https://media.frag-den-staat.de/files/docs/5c/ec/93/5cec93417ddc4629896afd446328b4f4/87295b4a36ab12cf72245710dafa61d109aace39.pdf,,,5cec9341-7ddc-4629-896a-fd446328b4f4,C:\Users\Admin\Desktop\OpenLens\Texte\85976_87295b4a36ab12cf72245710dafa61d109aace39.txt,C:\Users\Admin\Desktop\OpenLens\Bereinigte_Texte\85976_85976_87295b4a36ab12cf72245710dafa61d109aace39.txt,"FEHLER: Nordrhein-Westfalen Drucksache 16/11344
Das Dokument konnte nicht gefunden werden."
5,8639300000,86393,0,Haushaltsabschluss: Wofür hat Minister Remmel in 2014 Geld ausgegeben?,86393_0582e0e320f17a7e8380e301e1992952b8c9e6be.pdf,1,1,90,12,https://fragdenstaat.de/dokumente/86393-haushaltsabschluss-wofur-hat-minister-remmel-in-2014-geld-ausgegeben/,https://media.frag-den-staat.de/files/docs/4a/ce/d7/4aced7aaa8674bb6809d3134a8e8a628/0582e0e320f17a7e8380e301e1992952b8c9e6be.pdf,,,4aced7aa-a867-4bb6-809d-3134a8e8a628,C:\Users\Admin\Desktop\OpenLens\Texte\86393_0582e0e320f17a7e8380e301e1992952b8c9e6be.txt,C:\Users\Admin\Desktop\OpenLens\Bereinigte_Texte\86393_86393_0582e0e320f17a7e8380e301e1992952b8c9e6be.txt,"FEHLER: Nordrhein-Westfalen Drucksache 16/10201
Das Dokument konnte nicht gefunden werden."
6,8724400000,87244,0,Haushaltsabschluss: Wofür hat Minister Remmel in 2014 Geld ausgegeben?,87244_32a37c18da40c6f4488cd1b2d26ebfe73675c06b.pdf,1,1,90,12,https://fragdenstaat.de/dokumente/87244-haushaltsabschluss-wofur-hat-minister-remmel-in-2014-geld-ausgegeben/,https://media.frag-den-staat.de/files/docs/48/76/83/487683b0a7ae4fd1876824077aefd5a1/32a37c18da40c6f4488cd1b2d26ebfe73675c06b.pdf,,,487683b0-a7ae-4fd1-8768-24077aefd5a1,C:\Users\Admin\Desktop\OpenLens\Texte\87244_32a37c18da40c6f4488cd1b2d26ebfe73675c06b.txt,C:\Users\Admin\Desktop\OpenLens\Bereinigte_Texte\87244_87244_32a37c18da40c6f4488cd1b2d26ebfe73675c06b.txt,"FEHLER: Nordrhein-Westfalen Drucksache 16/10203
Das Dokument konnte nicht gefunden werden."
7,8843200000,88432,0,Haushaltsabschluss: Wofür hat Minister Remmel in 2014 Geld ausgegeben?,88432_36c98faf109314aff0e1f81237af5adaafdd24d2.pdf,1,1,90,12,https://fragdenstaat.de/dokumente/88432-haushaltsabschluss-wofur-hat-minister-remmel-in-2014-geld-ausgegeben/,https://media.frag-den-staat.de/files/docs/b5/9d/fb/b59dfb41084b471dab7237b38d79aaf7/36c98faf109314aff0e1f81237af5adaafdd24d2.pdf,,,b59dfb41-084b-471d-ab72-37b38d79aaf7,C:\Users\Admin\Desktop\OpenLens\Texte\88432_36c98faf109314aff0e1f81237af5adaafdd24d2.txt,C:\Users\Admin\Desktop\OpenLens\Bereinigte_Texte\88432_88432_36c98faf109314aff0e1f81237af5adaafdd24d2.txt,"FEHLER: Nordrhein-Westfalen Drucksache 16/10204
Das Dokument konnte nicht gefunden werden."
8,8865700000,88657,0,"Bekämpfung der Herkulesstaude an Landesstraßen und Autobahnen der Stadt Essen – Welche konkreten Aktivitäten unternimmt die Landesregierung, um Mensch und Tier vor dieser gefährlichen Giftpflanze zukünftig besser zu schützen?",88657_8d84bbe60ca55c0bcd3dd4d6224bc42978b60a23.pdf,1,1,90,12,https://fragdenstaat.de/dokumente/88657-bekampfung-der-herkulesstaude-an-landesstraen-und-autobahnen-der-stadt-essen-welche-konkreten-aktivitaten-unternimmt-die-landesregierung-um-mensch-und-tier-vor-dieser-gefahrlichen-giftpflanze-zukunftig-besser-zu-schutzen/,https://media.frag-den-staat.de/files/docs/bd/83/b7/bd83b7d00bfb45e3a0761e1ff364b81f/8d84bbe60ca55c0bcd3dd4d6224bc42978b60a23.pdf,,,bd83b7d0-0bfb-45e3-a076-1e1ff364b81f,C:\Users\Admin\Desktop\OpenLens\Texte\88657_8d84bbe60ca55c0bcd3dd4d6224bc42978b60a23.txt,C:\Users\Admin\Desktop\OpenLens\Bereinigte_Texte\88657_88657_8d84bbe60ca55c0bcd3dd4d6224bc42978b60a23.txt,"FEHLER: Nordrhein-Westfalen Drucksache 16/10209
Das Dokument konnte nicht gefunden werden."
9,8987700000,89877,0,Flüchtlingen ein Dach über den Kopf III: Leerstehende Büroetagen und Zeltstädte zugleich?,89877_086f989935a53924a11785a6a2102f7afd6f0b5e.pdf,1,1,90,12,https://fragdenstaat.de/dokumente/89877-fluchtlingen-ein-dach-uber-den-kopf-iii-leerstehende-buroetagen-und-zeltstadte-zugleich/,https://media.frag-den-staat.de/files/docs/71/96/15/7196153e11384659bcef82e9ce4757d5/086f989935a53924a11785a6a2102f7afd6f0b5e.pdf,,,7196153e-1138-4659-bcef-82e9ce4757d5,C:\Users\Admin\Desktop\OpenLens\Texte\89877_086f989935a53924a11785a6a2102f7afd6f0b5e.txt,C:\Users\Admin\Desktop\OpenLens\Bereinigte_Texte\89877_89877_086f989935a53924a11785a6a2102f7afd6f0b5e.txt,"FEHLER: Nordrhein-Westfalen Drucksache 16/10208
Das Dokument konnte nicht gefunden werden."
